,abs_coef,indicator
original_glrlm_GrayLevelNonUniformity_std,0.4426069281969947,1
original_shape2D_PerimeterSurfaceRatio_5%,0.4407464572964488,-1
original_shape2D_MaximumDiameter_std,0.4403138351705403,-1
original_firstorder_Kurtosis_max,0.43886918691681887,-1
original_glcm_JointEnergy_95%,0.438388217526013,-1
original_glszm_HighGrayLevelZoneEmphasis_min,0.4379163246716942,-1
original_glrlm_HighGrayLevelRunEmphasis_min,0.4379163246716925,-1
original_glcm_SumEntropy_5%,0.43773916946806596,1
original_ngtdm_Coarseness_95%,0.43745667421158774,1
original_firstorder_MeanAbsoluteDeviation_5%,0.4371322384064436,1
original_glrlm_LongRunHighGrayLevelEmphasis_50%,0.4335298148057096,1
original_glrlm_LowGrayLevelRunEmphasis_95%,0.43339971763255497,-1
original_glszm_LargeAreaEmphasis_5%,0.4332868782436031,-1
original_glszm_LargeAreaHighGrayLevelEmphasis_50%,0.43313715929248364,1
diagnostics_Mask-original_VolumeNum_std,0.43227822010577693,-1
original_glszm_LowGrayLevelZoneEmphasis_95%,0.4321637108450881,-1
original_firstorder_Uniformity_max,0.43182022621995914,-1
original_gldm_LargeDependenceEmphasis_5%,0.43100660197461155,-1
original_glrlm_LongRunLowGrayLevelEmphasis_min,0.42855466846145185,-1
original_glszm_LargeAreaLowGrayLevelEmphasis_min,0.42855466846145185,-1
original_glrlm_LongRunEmphasis_5%,0.4280069219337489,-1
original_gldm_LargeDependenceEmphasis_95%,0.4273483638105942,-1
original_firstorder_90Percentile_50%,0.42695122656014056,1
original_gldm_LargeDependenceLowGrayLevelEmphasis_95%,0.4252583180941665,1
original_glrlm_GrayLevelNonUniformity_5%,0.4236152030849264,1
original_glcm_MaximumProbability_min,0.4188802380022538,-1
original_glcm_ClusterProminence_5%,0.41641149546963774,1
original_glrlm_GrayLevelNonUniformityNormalized_5%,0.41558124505034066,-1
original_shape2D_Sphericity_min,0.4155199732255229,-1
original_glszm_GrayLevelNonUniformityNormalized_5%,0.4155003264008409,-1
original_glcm_SumAverage_max,0.4152861915350523,1
original_glcm_JointAverage_max,0.4152861915342753,1
original_shape2D_MinorAxisLength_50%,0.41345257189686513,-1
original_glrlm_ShortRunEmphasis_5%,0.4102968532270513,-1
original_glszm_SmallAreaEmphasis_5%,0.4101402275913177,-1
original_glrlm_RunEntropy_95%,0.40920189249079514,1
original_glszm_ZoneEntropy_95%,0.40920189249079514,1
diagnostics_Mask-original_VolumeNum_mean,0.4072262828855245,-1
original_glrlm_RunLengthNonUniformity_95%,0.40698823651480504,1
original_glszm_SizeZoneNonUniformity_95%,0.40668371890693344,1
original_glcm_ClusterProminence_50%,0.4039949023251734,1
original_ngtdm_Coarseness_std,0.40388968069066516,-1
original_firstorder_Range_std,0.40360639728609143,1
original_glszm_GrayLevelNonUniformity_5%,0.4025991993583503,1
original_glrlm_HighGrayLevelRunEmphasis_std,0.3994972589599906,-1
original_glszm_HighGrayLevelZoneEmphasis_std,0.39873643035204487,-1
original_firstorder_Kurtosis_std,0.3984999887336416,-1
original_gldm_HighGrayLevelEmphasis_95%,0.39833336188053226,1
original_glcm_Contrast_95%,0.39711703525039654,-1
original_shape2D_MinorAxisLength_max,0.3968283425368039,1
original_glcm_Idn_std,0.39371434267185595,-1
original_ngtdm_Strength_std,0.3919054691724322,-1
original_ngtdm_Busyness_max,0.3893466231007031,1
original_firstorder_Median_50%,0.38418941660930245,1
original_ngtdm_Strength_min,0.3820347915995951,-1
original_firstorder_Uniformity_5%,0.3814990339690812,-1
original_firstorder_Range_5%,0.3779531589939987,1
original_ngtdm_Busyness_std,0.3746251783174059,1
original_glrlm_ShortRunLowGrayLevelEmphasis_5%,0.37254890204605223,-1
original_glszm_SmallAreaLowGrayLevelEmphasis_5%,0.37233516033756636,-1
original_glrlm_RunLengthNonUniformity_max,0.36981420673786586,-1
original_glszm_SizeZoneNonUniformity_max,0.36981420673786586,-1
original_gldm_DependenceNonUniformityNormalized_max,0.369322382760387,-1
original_glcm_Imc1_min,0.3675951474779926,1
original_gldm_DependenceEntropy_max,0.3669436366639894,1
original_glcm_ClusterProminence_max,0.36478150115466584,-1
original_firstorder_RobustMeanAbsoluteDeviation_5%,0.36439047531316215,1
original_firstorder_Mean_min,0.36435532159510164,1
original_glcm_ClusterProminence_mean,0.36203161737451195,-1
original_gldm_LargeDependenceLowGrayLevelEmphasis_max,0.3597266464144522,-1
original_glcm_JointAverage_std,0.3576298330053246,-1
original_glcm_SumAverage_std,0.35762983300486845,-1
original_glcm_MaximumProbability_5%,0.35552596153755517,-1
original_glcm_JointEntropy_5%,0.3532366354921002,1
original_glcm_Idmn_std,0.35060873382886815,-1
original_glrlm_GrayLevelVariance_std,0.34981309693099893,-1
original_glszm_GrayLevelVariance_std,0.3496807533557712,-1
original_glcm_Idn_max,0.34786992049023074,1
original_shape2D_PerimeterSurfaceRatio_mean,0.34188985422037776,1
original_shape2D_Elongation_5%,0.33803335035630067,-1
original_ngtdm_Coarseness_max,0.337417141077071,-1
original_glrlm_HighGrayLevelRunEmphasis_5%,0.3360507192735343,1
original_glszm_HighGrayLevelZoneEmphasis_5%,0.3336068962428865,1
diagnostics_Image-original_Mean_std,0.3329045283309476,1
original_glcm_DifferenceVariance_max,0.33289355483702776,1
original_glcm_ClusterTendency_5%,0.3317474442486841,1
original_firstorder_MeanAbsoluteDeviation_95%,0.33149571178552745,1
original_glszm_ZonePercentage_5%,0.33031404404399206,1
original_gldm_LargeDependenceHighGrayLevelEmphasis_min,0.3300345594125523,1
original_glrlm_RunPercentage_5%,0.32991082473956246,1
original_firstorder_InterquartileRange_5%,0.3296442136926873,1
original_glszm_LowGrayLevelZoneEmphasis_min,0.3261128964384123,-1
original_glrlm_LowGrayLevelRunEmphasis_min,0.3261128964384123,-1
original_glcm_DifferenceVariance_95%,0.32592895931206306,-1
original_ngtdm_Contrast_5%,0.3224429742079571,1
original_glcm_DifferenceVariance_std,0.3195337923992513,-1
original_glszm_GrayLevelNonUniformity_max,0.3184976362607474,1
original_glrlm_GrayLevelNonUniformity_max,0.3184976362607474,1
original_firstorder_Range_95%,0.317459549287181,1
original_glcm_Imc2_5%,0.31707517775554006,-1
original_gldm_HighGrayLevelEmphasis_max,0.3169518767207816,1
original_glcm_Imc1_5%,0.31562346985266115,1
original_ngtdm_Contrast_95%,0.31198375362149255,-1
original_firstorder_10Percentile_5%,0.3105883775395804,-1
original_glcm_DifferenceVariance_min,0.31041493143041105,1
original_glcm_SumSquares_max,0.3093745504993122,-1
original_gldm_LargeDependenceHighGrayLevelEmphasis_5%,0.30878496966834723,-1
original_firstorder_Maximum_mean,0.30613270960607836,1
original_gldm_SmallDependenceHighGrayLevelEmphasis_max,0.3058329381098278,-1
original_glcm_Idmn_max,0.305417805916126,1
original_glcm_MCC_min,0.30350003016208765,1
original_firstorder_Variance_std,0.30090541383658653,-1
original_glcm_Autocorrelation_95%,0.29955568245949493,1
original_glcm_InverseVariance_min,0.29906142959802373,-1
original_glcm_ClusterTendency_max,0.2966602878706111,-1
original_firstorder_RootMeanSquared_50%,0.2960834528255672,1
original_glszm_SmallAreaLowGrayLevelEmphasis_std,0.2947614802090521,1
original_glcm_ClusterTendency_min,0.29378905147870765,-1
original_glrlm_ShortRunHighGrayLevelEmphasis_std,0.29289722103934274,-1
original_glszm_SmallAreaHighGrayLevelEmphasis_std,0.2926885884054548,-1
original_glcm_ClusterProminence_min,0.2922129714267778,-1
original_ngtdm_Coarseness_mean,0.29200362060053714,-1
diagnostics_Mask-original_VolumeNum_max,0.29110641583152275,1
original_glrlm_HighGrayLevelRunEmphasis_95%,0.2906765315818052,1
original_glszm_HighGrayLevelZoneEmphasis_95%,0.2904765323806253,1
original_gldm_LargeDependenceLowGrayLevelEmphasis_min,0.29011161015950254,-1
original_gldm_GrayLevelNonUniformity_5%,0.2896273755735001,-1
original_gldm_GrayLevelVariance_std,0.28791626973187556,-1
original_glszm_ZonePercentage_95%,0.28704382800407,1
original_gldm_DependenceEntropy_50%,0.28685172750625354,-1
original_gldm_DependenceVariance_min,0.2838191637788917,1
original_glszm_LargeAreaHighGrayLevelEmphasis_std,0.2811551402730956,-1
original_glrlm_LongRunHighGrayLevelEmphasis_std,0.2811372947763096,-1
original_glrlm_ShortRunHighGrayLevelEmphasis_50%,0.28052254956540323,1
original_shape2D_Perimeter_min,0.28012439444070636,-1
original_glrlm_RunPercentage_95%,0.27972287653357336,1
original_glszm_SmallAreaHighGrayLevelEmphasis_50%,0.2790255623577863,1
original_glcm_ClusterProminence_95%,0.2786560639808967,-1
original_glcm_JointEntropy_95%,0.27767868530985185,1
original_gldm_LowGrayLevelEmphasis_min,0.27392109119854746,-1
original_shape2D_Perimeter_50%,0.27382234269601263,1
original_ngtdm_Complexity_5%,0.27186887256151443,-1
original_glcm_ClusterShade_95%,0.27165667271393984,-1
original_glcm_ClusterTendency_std,0.2716464515137593,-1
original_glcm_SumSquares_min,0.2701106309402754,-1
original_firstorder_Median_5%,0.26938828227181605,-1
original_shape2D_MeshSurface_max,0.26797138559951816,-1
diagnostics_Mask-original_VoxelNum_max,0.2676916019099005,-1
original_shape2D_PixelSurface_max,0.2676916019099005,-1
original_glcm_DifferenceAverage_95%,0.2675709180224299,-1
original_glrlm_GrayLevelNonUniformity_mean,0.2671227660400975,1
original_firstorder_Kurtosis_95%,0.2659283884927591,-1
original_glszm_GrayLevelNonUniformity_mean,0.265285795522486,1
original_glrlm_ShortRunLowGrayLevelEmphasis_std,0.2640307366204853,1
original_gldm_DependenceNonUniformity_mean,0.26329804188710537,1
original_gldm_SmallDependenceEmphasis_50%,0.2618485940517164,-1
original_firstorder_Energy_95%,0.2614992228785502,1
original_firstorder_TotalEnergy_95%,0.2614992228785502,1
original_gldm_HighGrayLevelEmphasis_min,0.2614126743203975,-1
original_shape2D_MinorAxisLength_5%,0.26141224963528337,-1
original_glcm_SumSquares_std,0.2602353629917267,-1
original_gldm_DependenceNonUniformity_min,0.2591794995388289,1
original_glcm_Imc2_50%,0.2581871655151532,1
original_glcm_JointAverage_95%,0.25805877105249125,1
original_glcm_SumAverage_95%,0.2580587710520163,1
original_gldm_SmallDependenceEmphasis_5%,0.25678769231487814,-1
original_glcm_Correlation_95%,0.25563309244851545,1
