,abs_coef,indicator
original_gldm_SmallDependenceHighGrayLevelEmphasis_std,0.4396641941108829,-1
original_firstorder_10Percentile_min,0.4313321305411918,1
original_glcm_JointEnergy_95%,0.4304292625965683,-1
original_shape2D_MajorAxisLength_min,0.4304044558767365,1
original_glrlm_RunEntropy_min,0.4303520231288932,-1
original_glcm_ClusterProminence_mean,0.4300072266481815,-1
original_glszm_GrayLevelNonUniformityNormalized_95%,0.4213548791104577,-1
original_glrlm_GrayLevelNonUniformityNormalized_95%,0.4209951642224348,-1
original_gldm_GrayLevelNonUniformity_5%,0.4208281715228746,-1
original_ngtdm_Coarseness_95%,0.4206316600218607,1
original_shape2D_MaximumDiameter_max,0.4183914428020432,1
original_glcm_DifferenceVariance_std,0.4179348665461469,-1
original_glcm_ClusterShade_std,0.4167089469418794,-1
original_glrlm_LongRunLowGrayLevelEmphasis_max,0.416445818279806,1
original_glszm_LargeAreaLowGrayLevelEmphasis_max,0.416445818279806,1
original_glcm_ClusterProminence_5%,0.41586082989761947,1
original_firstorder_Skewness_95%,0.4147251865395293,-1
diagnostics_Mask-original_VolumeNum_std,0.41424489366417855,-1
original_glcm_Imc2_max,0.4120247036766133,1
diagnostics_Mask-original_VolumeNum_mean,0.4113373172831571,-1
original_firstorder_Skewness_min,0.4087963919316102,-1
original_firstorder_Kurtosis_std,0.4073253786456061,-1
original_firstorder_Median_50%,0.40604673754827775,1
original_gldm_LargeDependenceEmphasis_95%,0.4037442536957696,-1
original_glcm_DifferenceEntropy_min,0.4027756444116814,1
original_glrlm_LongRunHighGrayLevelEmphasis_50%,0.4010312858368501,1
original_gldm_SmallDependenceEmphasis_5%,0.4006525406113449,-1
original_glszm_LargeAreaHighGrayLevelEmphasis_50%,0.4005477621173373,1
original_glszm_LargeAreaEmphasis_5%,0.399635926317716,-1
original_gldm_LargeDependenceEmphasis_5%,0.3967797862370005,-1
original_glcm_DifferenceVariance_max,0.3957721157053515,1
original_gldm_DependenceNonUniformityNormalized_max,0.3957708114909365,-1
original_gldm_LargeDependenceHighGrayLevelEmphasis_5%,0.3956275446768578,-1
original_glrlm_LongRunEmphasis_5%,0.3954453685557779,-1
original_gldm_SmallDependenceHighGrayLevelEmphasis_5%,0.394566050868652,-1
original_glrlm_GrayLevelNonUniformityNormalized_5%,0.3942219730284148,-1
original_glszm_GrayLevelNonUniformityNormalized_5%,0.3941291733834014,-1
original_glcm_Imc1_mean,0.3940480404658176,-1
original_glrlm_GrayLevelNonUniformity_max,0.3925266284417636,1
original_glszm_GrayLevelNonUniformity_max,0.3925266284417636,1
original_glrlm_HighGrayLevelRunEmphasis_5%,0.3909231942864347,1
original_gldm_DependenceVariance_min,0.3894971007902966,1
original_glszm_HighGrayLevelZoneEmphasis_5%,0.3889539729684692,1
original_ngtdm_Strength_95%,0.3863925313653205,-1
